행정구,법정동,업종,이름,도로명주소,,
도봉구,창동,노인의료복지시설,희망요양원,서울특별시 도봉구 덕릉로59길 20 (창동),,
관악구,신림동,노인의료복지시설,에덴요양원,서울특별시 관악구 조원로16길33 4층 401호 (신림동 중앙빌딩),,
종로구,평창동,노인의료복지시설,서울여자간호대학교 휴먼캐슬,서울특별시 종로구 평창길 318 (평창동),,
강서구,화곡동,노인의료복지시설,요안나요양원,서울특별시 강서구 화곡로 254,,
강북구,미아동,노인의료복지시설,민영요양센터2,서울특별시 강북구 삼양로184 5층 (미아동 유유빌딩)),,
중랑구,면목동,노인의료복지시설,면목요양원,서울특별시 중랑구 면목동61 3층 (면목동),,
마포구,공덕동,노인의료복지시설,설화요양원,서울특별시 마포구 만리재로 115송희빌딩 6층 (공덕동),,
중랑구,망우동,노인의료복지시설,예원요양원2호점,서울특별시 중랑구 용마산로 554 동화빌딩 2층,,
강서구,화곡동,노인의료복지시설,다복공동생활가정,서울특별시 강서구 화곡로 225-0225 4층 (화곡동),,
강동구,천호동,노인의료복지시설,늘편한요양원,서울특별시 강동구 천호1동318 3층 (천호동 성산빌딩),,
중랑구,상봉동,노인의료복지시설,효원노인복지센터D,서울 중랑구 상봉중앙로1길 12 4층,,
중랑구,상봉동,노인의료복지시설,효원노인복지센터C,서울 중랑구 상봉중앙로1길 12 4층,,
중랑구,상봉동,노인의료복지시설,효원노인복지센터B,서울 중랑구 상봉중앙로1길 12 3층,,
관악구,신림동,노인의료복지시설,강남한보리전문요양원,서울특별시 관악구 남부순환로 1529-1 (신림동),,
은평구,응암동,노인의료복지시설,마추미실버케어응암점,서울특별시 은평구 응암로13길11-7,,
노원구,중계동,노인의료복지시설,길요양원,서울특별시 노원구 한글비석로15길 48현대종합상가 4층 (중계동),,
영등포구,신길동,노인의료복지시설,가족사랑1,서울특별시 영등포구 도신로204 4층 (신길동),,
영등포구,신길동,노인의료복지시설,가족사랑2,서울특별시 영등포구 도신로204 3층 (신길동),,
강서구,방화동,노인의료복지시설,봄날강서요양원,서울특별시 강서구 양천로11길 15-11(방화동),,
강서구,화곡동,노인의료복지시설,맑은공동생활가정,서울특별시 강서구 화곡로225 6층 (화곡동),,
도봉구,방학동,노인의료복지시설,수노인요양공동생활가정1호점,서울특별시 도봉구 방학1동  도봉구청80 5층 (방학동),,
강동구,길동,노인의료복지시설,은혜요양원,서울특별시 강동구 양재대로124길 41 (길동)   2층,,
